sample,cram_path,fastq_prefix,sample_supplier_name,library_type,num_reads_processed,total_reads,r1len,r2len,i1len,i2len
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex46/31512_3#46.cram,Human_colon_16S8123908_S3_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,103111832,103111832,28,91,8,—
Human_colon_16S8123908,/seq/31264/31264_1#47.cram,Human_colon_16S8123908_S4_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,344072,344072,25,25,8,—
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex48/31512_3#48.cram,Human_colon_16S8123908_S4_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,145235120,145235120,28,91,8,—
Human_colon_16S8123909,/seq/31264/31264_1#52.cram,Human_colon_16S8123909_S1_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,315556,315556,25,25,8,—
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex50/31512_3#50.cram,Human_colon_16S8123909_S1_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,156431326,156431326,28,91,8,—
Human_colon_16S8123909,/seq/31264/31264_1#49.cram,Human_colon_16S8123909_S2_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,362722,362722,25,25,8,—
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex49/31512_3#49.cram,Human_colon_16S8123909_S2_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,118313612,118313612,28,91,8,—
Human_colon_16S8123909,/seq/31264/31264_1#51.cram,Human_colon_16S8123909_S3_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,352024,352024,25,25,8,—
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex52/31512_3#52.cram,Human_colon_16S8123909_S3_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,111041160,111041160,28,91,8,—
Human_colon_16S8123909,/seq/31264/31264_1#50.cram,Human_colon_16S8123909_S4_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,462642,462642,25,25,8,—
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex51/31512_3#51.cram,Human_colon_16S8123909_S4_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,112192072,112192072,28,91,8,—
Pan_T7917815,/seq/illumina/runs/29/29302/plex2/29302#2.cram,Pan_T7917815_S1_L001,2D_SPL,Chromium single cell,684954,684954,26,91,8,—
Pan_T7917815,/seq/illumina/runs/29/29302/plex1/29302#1.cram,Pan_T7917815_S2_L001,2D_SPL,Chromium single cell,215103840,215103840,26,91,8,—
Pan_T7917815,/seq/illumina/runs/29/29302/plex4/29302#4.cram,Pan_T7917815_S3_L001,2D_SPL,Chromium single cell,235634768,235634768,26,91,8,—
Pan_T7917815,/seq/illumina/runs/29/29302/plex3/29302#3.cram,Pan_T7917815_S4_L001,2D_SPL,Chromium single cell,222458186,222458186,26,91,8,—
ThDefineAImm12816536,/seq/illumina/runs/44/44753/lane4/plex9/44753_4#9.cram,ThDefineAImm12816536_S1_L001,428C_BMA_US_t-0_G,Chromium single cell 3 prime v2,913193978,913193978,28,90,10,10
ThDefineAImm12816536,/seq/illumina/runs/47/47673/plex25/47673#25.cram,ThDefineAImm12816536_S1_L002,428C_BMA_US_t-0_G,Chromium single cell 5 prime,722262954,722262954,89,41,10,10
